"This question refers to the following information.
The following quote is from Voltaire in response to the 1755 Lisbon earthquake.
My dear sir, nature is very cruel. One would find it hard to imagine how the laws of movement cause such frightful disasters in the best of possible worlds. A hundred thousand ants, our fellows, crushed all at once in our ant-hill, and half of them perishing, no doubt in unspeakable agony, beneath the wreckage from which they cannot be drawn. Families ruined all over Europe, the fortune of a hundred businessmen, your compatriots, swallowed up in the ruins of Lisbon. What a wretched gamble is the game of human life! What will the preachers say, especially if the palace of the Inquisition is still standing? I flatter myself that at least the reverend father inquisitors have been crushed like others. That ought to teach men not to persecute each other, for while a few holy scoundrels burn a few fanatics, the earth swallows up one and all.
—Voltaire, in a letter, 1755
Voltaire is best known for supporting which of the following demands of the Enlightenment philosophes?",Religious toleration should be given to all people of all religions.,Religious toleration leads to the destruction of social unity.,Skepticism is not a reliable way of examining information.,Deism should be adopted by all as the only logical religion.,A,ori_mmlu-high_school_european_history,True,0.937524139881134,0.035933900624513626,0.010474269278347492,0.01606759987771511
"This question refers to the following information.
Read the list of complaints below.
Article 3: Frenchmen should regard as laws of the kingdom those alone which have been prepared by the national assembly and sanctioned by the king.
Article 11: Personal liberty, proprietary rights and the security of citizens shall be established in a clear, precise and irrevocable manner. All lettres de cachet shall be abolished forever, subject to certain modifications which the States General may see fit to impose.
Article 12: And to remove forever the possibility of injury to the personal and proprietary rights of Frenchmen, the jury system shall be introduced in all criminal cases, and in civil cases for the determination of fact, in all the courts of the realm.
Article 17: All distinctions in penalties shall be abolished; and crimes committed by citizens of the different orders shall be punished irrespectively, according to the same forms of law and in the same manner. The States General shall seek to bring it about that the effects of transgression shall be confined to the individual and shall not be reflected upon the relatives of the transgressor, themselves innocent of all participation.
Article 21: No tax shall be legal unless accepted by the representatives of the people and sanctioned by the king.
—Cahiers of the Third Estate of Versailles, 1789
Which of the following changes brought on by the French Revolution was most approved of by the peasants of France?",The abolition of feudal dues and rents,Creation of a constitutional monarchy,Increased popular participation in politics,Nationalization of religion,A,ori_mmlu-high_school_european_history,False,0.3795238137245178,0.1804400533437729,0.395490825176239,0.04454531893134117
"This question refers to the following information.
Read the following governmental report.
Of the 450 sick persons whom the inhabitants were unable to relieve, 200 were turned out, and these we saw die one by one as they lay on the roadside. A large number still remain, and to each of them it is only possible to dole out the least scrap of bread. We only give bread to those who would otherwise die. The staple dish here consists of mice, which the inhabitants hunt, so desperate are they from hunger. They devour roots which the animals cannot eat; one can, in fact, not put into words the things one sees. . . . This narrative, far from exaggerating, rather understates the horror of the case, for it does not record the hundredth part of the misery in this district. Those who have not witnessed it with their own eyes cannot imagine how great it is. Not a day passes but at least 200 people die of famine in the two provinces. We certify to having ourselves seen herds, not of cattle, but of men and women, wandering about the fields between Rheims and Rhétel, turning up the earth like pigs to find a few roots; and as they can only find rotten ones, and not half enough of them, they become so weak that they have not strength left to seek food. The parish priest at Boult, whose letter we enclose, tells us he has buried three of his parishioners who died of hunger. The rest subsisted on chopped straw mixed with earth, of which they composed a food which cannot be called bread. Other persons in the same place lived on the bodies of animals which had died of disease, and which the curé, otherwise unable to help his people, allowed them to roast at the presbytery fire.
—Report of the Estates of Normandy, 1651
Which of the following contributed the LEAST to the health and hunger problems faced by the French people in the seventeenth century?",Low taxes on the peasants and middle class,Adverse weather,Low-productivity agricultural practices,Poor transportation,A,ori_mmlu-high_school_european_history,True,0.7358105182647705,0.11467927694320679,0.1109938770532608,0.03851630166172981
"This question refers to the following information.
Read the the following poem to answer questions.
Take up the White Man's burden—
Send forth the best ye breed—
Go bind your sons to exile
To serve your captives' need;
To wait in heavy harness,
On fluttered folk and wild—
Your new-caught, sullen peoples,
Half-devil and half-child.
...
Take up the White Man's burden—
The savage wars of peace—
Fill full the mouth of Famine
And bid the sickness cease;
And when your goal is nearest
The end for others sought…
Watch sloth and heathen Folly
Bring all your hopes to naught.
Rudyard Kipling, The White Man's Burden, 1899
It is generally acknowledged that Kipling fashioned White Man's Burden to address the subject of the American colonization of the Philippines, which the United States had recently won from Spain in the Spanish-American War. With that information in mind, what message can Kipling be said to be offering the Americans in this excerpt?",A reminder of the responsibility of advanced civilizations to bring the benefits of modern civilization to less-developed peoples,A warning to avoid the war and hardships of imperialism,An exhortation to Christianize the heathen peoples of the world,An ironic presentation of the sheer folly of imperialism,A,ori_mmlu-high_school_european_history,True,0.9662557244300842,0.014439422637224197,0.00579833285883069,0.013506416231393814
"This question refers to the following information.
""The Government of the German Reich and The Government of the Union of Soviet Socialist Republics desirous of strengthening the cause of peace between Germany and the U.S.S.R., and proceeding from the fundamental provisions of the Neutrality Agreement concluded in April, 1926 between Germany and the U.S.S.R., have reached the following Agreement:
Article I. Both High Contracting Parties obligate themselves to desist from any act of violence, any aggressive action, and any attack on each other, either individually or jointly with other Powers.
Article II. Should one of the High Contracting Parties become the object of belligerent action by a third Power, the other High Contracting Party shall in no manner lend its support to this third Power.
Article III. The Governments of the two High Contracting Parties shall in the future maintain continual contact with one another for the purpose of consultation in order to exchange information on problems affecting their common interests.
Article IV. Should disputes or conflicts arise between the High Contracting Parties shall participate in any grouping of Powers whatsoever that is directly or indirectly aimed at the other party.
Article V. Should disputes or conflicts arise between the High Contracting Parties over problems of one kind or another, both parties shall settle these disputes or conflicts exclusively through friendly exchange of opinion or, if necessary, through the establishment of arbitration commissions.""
Molotov-Ribbentrop Pact, 1939
The Soviets were most strongly motivated to create this agreement because",the attempt by the Soviets to form an alliance with Britain and France had failed,Germany promised to help regain Soviet land lost in the First World War,they wanted to assist the Germans in seizing land from Czechoslovakia,they held debt to Germany stemming from the First World War,A,ori_mmlu-high_school_european_history,True,0.8075722455978394,0.07992357760667801,0.01907203160226345,0.09343220293521881
"This question refers to the following information.
Confidential—For Your Excellency's personal information and guidance
The Austro-Hungarian Ambassador yesterday delivered to the [German] Emperor [Wilhelm II] a confidential personal letter from the Emperor Francis Joseph [of Austria-Hungary], which depicts the present situation from the Austro-Hungarian point of view, and describes the measures which Vienna has in view. A copy is now being forwarded to Your Excellency. …
His Majesty desires to say that he is not blind to the danger which threatens Austria-Hungary and thus the Triple Alliance as a result of the Russian and Serbian Pan-Slavic agitation. … His Majesty will, furthermore, make an effort at Bucharest, according to the wishes of the Emperor Franz Joseph, to influence King Carol to the fulfilment of the duties of his alliance, to the renunciation of Serbia, and to the suppression of the Rumanian agitations directed against Austria-Hungary.
Finally, as far as concerns Serbia, His Majesty, of course, cannot interfere in the dispute now going on between Austria-Hungary and that country, as it is a matter not within his competence. The Emperor Franz Joseph may, however, rest assured that His Majesty will faithfully stand by Austria-Hungary, as is required by the obligations of his alliance and of his ancient friendship.
Theobald von Bethmann-Hollweg (chancellor of Germany), telegram to the German ambassador at Vienna, July 6, 1914
The best description of the context of Bethmann-Hollweg's telegram is",the Balkan Question and the Triple Alliance,Germany's collaboration with Austria-Hungary during Germany's unification process,Germany's rearmament in violation of the Treaty of Paris,Germany's negotiations with Austria-Hungary and Italy to create the Triple Alliance,A,ori_mmlu-high_school_european_history,True,0.43608537316322327,0.349176824092865,0.025442857295274734,0.1892949342727661
"This question refers to the following information.
Under the name of Chartist well-meaning inconsiderate men and other misled men have in very many cases, all over the country from the extreme west to the extreme east and from Brighton in the south to nearly the extreme north of Scotland, denounced every man who is not a working man, applied to him, the grossest epithets and most atrocious intentions and conduct, have threatened them with vengeance and in some places, have proposed plans for the seizure and division of their property—numbers of misled men and others of bad character, under the self-denomination of Chartists have gone from place to place and in the most violent manner disturbed and dispersed meetings of various kinds. Your Committee object to the words Household Suffrage since under any honest definition of the words—they would exclude a large majority of the men of these kingdoms—and because they have become reasonably obnoxious to the political portion of the working people.
—Excerpt of a letter from British social reformer Francis Place, written in 1842
Which of the following is the political reaction led by Klemens von Metternich that occurred as a result of the Chartists, the French Revolution, and other liberal movements?",Conservatism,Radicalism,Nationalism,Liberalism,A,ori_mmlu-high_school_european_history,True,0.5684748888015747,0.11028137058019638,0.24024896323680878,0.08099479973316193
"This question refers to the following information.
""His Majesty the Emperor of China agrees, that British subjects, with their families and establishments, shall be allowed to reside, for the purposes of carrying on their mercantile pursuits, without molestation or restraint, at the cities and towns of Canton, Amoy, Foochowfoo, Ningpo, and Shanghai; and Her Majesty the Queen of Great Britain, &c., will appoint Superintendents, or Consular officers, to reside at each of the above-named cities or towns, to be the medium of communication between the Chinese authorities and the said merchants, and to see that the just duties and other dues of the Chinese Government, as hereafter provided for, are duly discharged by Her Britannic Majesty's subjects.""
Treaty of Nanjing, 1839
How did the Boxers of the early twentieth century react to the legacy of this treaty?",They initiated an armed resistance against Western interests in Northern China.,They formed an alliance with Japan to stop Western businesses from operating in China.,They ran for local political offices on a platform to expand the treaty.,They defended the treaty from the opposition of Chinese rebels.,A,ori_mmlu-high_school_european_history,True,0.8965067863464355,0.05061856284737587,0.018026208505034447,0.03484836965799332
"This question refers to the following information.
The following excerpt is from a speech by Vladimir I. Lenin.
The independence of our country cannot be upheld unless we have an adequate industrial basis for defense. And such an industrial basis cannot be created if our industry is not more highly developed technically. That is why a fast rate of development of our industry is necessary and imperative. We cannot go on indefinitely, that is, for too long a period, basing the Soviet regime and socialist construction on two different foundations, the foundation of the most large-scale and united socialist industry and the foundation of the most scattered and backward, small commodity economy of the peasants. We must gradually, but systematically and persistently, place our agriculture on a new technical basis, the basis of large-scale production, and bring it up to the level of socialist industry. Either we accomplish this task—in which case the final victory of socialism in our country will be assured, or we turn away from it and do not accomplish it—in which case a return to capitalism may become inevitable.
—Vladimir I. Lenin Industrialization of the Country and the Right Deviation in the C.P.S.U., November 19,1928
What was the result of Stalin's attempt to fix this problem?",The Soviet Union saw steady growth in industry and a decline in agriculture.,The Soviet Union saw steady growth in both industry and agriculture.,The Soviet Union saw steady growth in agriculture but industrial production fell behind.,The Soviet Union saw steady decline in both industry and agriculture.,A,ori_mmlu-high_school_european_history,True,0.5125784873962402,0.19989190995693207,0.2290264517068863,0.0585031658411026
"This question refers to the following information.
The history of all hitherto existing societies is the history of class struggles. … The modern bourgeois society that has sprouted from the ruins of feudal society has not done away with class antagonisms. It has but established new classes, new conditions of oppression, new forms of struggle in place of the old ones. Our epoch, the epoch of the bourgeoisie, possesses, however, this distinctive feature: it has simplified the class antagonisms. Society as a whole is more and more splitting up into two great hostile camps, into two great classes, directly facing each other: Bourgeoisie and Proletariat.
Karl Marx and Friedrich Engels, The Communist Manifesto, 1848
Marx and Engels would be most inclined to view which of the following developments as a significant event in European history?",The French Revolution of 1789 to 1793,The War of the Roses,The Seven Years' War,Britain's Glorious Revolution of 1688,A,ori_mmlu-high_school_european_history,True,0.6415100693702698,0.17625081539154053,0.0999857634305954,0.0822533369064331
"This question refers to the following information.
The following excerpt is from a pamphlet.
You will do me the justice to remember, that I have always strenuously supported the Right of every man to his own opinion, however different that opinion might be to mine. He who denies to another this right, makes a slave of himself to his present opinion, because he precludes himself the right of changing it.
The most formidable weapon against errors of every kind is Reason. I have never used any other, and I trust I never shall.
The circumstance that has now taken place in France of the total abolition of the whole national order of priesthood, and of everything appertaining to compulsive systems of religion, and compulsive articles of faith, has not only precipitated my intention, but rendered a work of this kind exceedingly necessary, lest in the general wreck of superstition, of false systems of government, and false theology, we lose sight of morality, of humanity, and of the theology that is true.
I believe in one God, and no more; and I hope for happiness beyond this life.
I believe in the equality of man; and I believe that religious duties consist in doing justice, loving mercy, and endeavoring to make our fellow-creatures happy.
I do not believe in the creed professed by the Jewish church, by the Roman church, by the Greek church, by the Turkish church, by the Protestant church, nor by any church that I know of. My own mind is my own church.
All national institutions of churches, whether Jewish, Christian or Turkish, appear to me no other than human inventions, set up to terrify and enslave mankind, and monopolize power and profit.
I do not mean by this declaration to condemn those who believe otherwise; they have the same right to their belief as I have to mine.
—Thomas Paine, The Age of Reason, 1794–1795
Paine's statement in the last sentence, criticizing persecution, was most likely influenced by which of the following?",Europeans gaining a more thorough understanding of the rich cultural diversity through trade and travel,New concepts of legal equity and individual rights expressed by Locke and Rousseau,New concepts of a deterministic mechanical universe based upon the discovery of Newton's mathematical laws,Challenges to the monopoly on truth held by the Roman Catholic Church on multiple fronts,A,ori_mmlu-high_school_european_history,True,0.4357471168041229,0.2169317603111267,0.1421796977519989,0.20514138042926788
"This question refers to the following information.
We have, by this perpetual and irrevocable edict, established and proclaimed:
""First, that the recollection of everything done be one party or the other … during all the preceding period of troubles, remain obliterated and forgotten, as if no such things had ever happened. …
""We ordain that the Catholic Apostolic and Roman religion shall be restored and reestablished in all places and localities of this our kingdom and countries subject to our sway, where the exercise of the same has been interrupted, in order that it may be peaceably and freely exercised, without any trouble or hindrance. …
""And in order to leave no occasion for troubles or differences between our subjects, we have permitted, and herewith permit, those of the said religion called Reformed to live and abide in all the cities and places of this our kingdom and countries of our sway, and without being annoyed, molested, or compelled to do anything in the matter of religion contrary to their consciences. …""
Henry IV of France, The Edict of Nantes, 1598
From the passage, one may infer that Henry IV decided",that the Catholic Church should exist in France,to ban the Catholic Church in France,that the Catholic Church is the one true Church,that the Catholic Church caused too much trouble and hindrance in France,A,ori_mmlu-high_school_european_history,True,0.3867812752723694,0.1727656126022339,0.14122696220874786,0.29922619462013245
"This question refers to the following information.
""After all the slaves had been brought together and severally marked with the letter G, the emperor's fifths and then Cortés' were deducted before we were aware of it; and, besides this, on the night preceding, the finest of the Indian females had been secretly set apart, so that when it came to a division among us soldiers, we found none left but old and ugly women&….Another soldier asked Cortés if the division he had made of the gold in Mexico was not a sufficient imposition, for, at first, he had merely spoken of 300,000 pesos, but when we were obliged to retreat from the city, it was estimated at 700,000 pesos. And now he was going to deprive the poor soldier, who had undergone so many hardships, and suffered from innumerable wounds, of this small remuneration, and not even allow him a pretty Indian female for a companion&…
[Later], when Cortés learnt that there were still a great many bars of gold among the men, and heavy gambling in consequence, (for, according to the old saying, gold and love cannot lie long concealed,) he made known, under threats of severe punishment, that everyone should produce the gold he had obtained on the night of our retreat, of which one third was to be returned to him; but that anyone who refused to pay this, should have the whole taken from him. Many of our men refused downright to comply with this; yet Cortés managed to extort a good deal of it under the pretence of a loan&…""
The Memoirs of the Conquistador Bernal Diaz del Castillo, 1568
As described by the author, the driving philosophy behind the conquistadores' search for gold was the economic policy known as",mercantilism,laissez-faire,protectionism,supply-side,A,ori_mmlu-high_school_european_history,True,0.8966078162193298,0.016490355134010315,0.06835407763719559,0.018547730520367622
"This question refers to the following information.
In Russia there was nothing going on well, and [Souvarine] was in despair over the news he had received. His old companions were all turning to the politicians; the famous Nihilists who made Europe tremble-sons of village priests, of the lower middle class, of tradesmen-could not rise above the idea of national liberation, and seemed to believe that the world would be delivered-when they had killed their despot&…
""Foolery! They'll never get out of it with their foolery.""
Then, lowering his voice still more, in a few bitter words he described his old dream of fraternity. He had renounced his rank and his fortune; he had gone among workmen, only in the hope of seeing at last the foundation of a new society of labour in common. All the sous in his pockets had long gone to the urchins of the settlement; he had been as tender as a brother with the colliers, smiling at their suspicion, winning them over by his quiet workmanlike ways and his dislike of chattering. But decidedly the fusion had not taken place.
His voice changed, his eyes grew bright, he fixed them on étienne, directly addressing him:
""Now, do you understand that? These hatworkers at Marseilles who have won the great lottery prize of a hundred thousand francs have gone off at once and invested it, declaring that they are going to live without doing anything! Yes, that is your idea, all of you French workmen; you want to unearth a treasure in order to devour it alone afterwards in some lazy, selfish corner. You may cry out as much as you like against the rich, you haven't got courage enough to give back to the poor the money that luck brings you. You will never be worthy of happiness as long as you own anything, and your hatred of the bourgeois proceeds solely from an angry desire to be bourgeois yourselves in their place.""
émile Zola, French writer, Germinal, 1885
The conflict referred to in the final paragraph of the passage was best described in which book?","The Communist Manifesto, by Marx and Engels","On Liberty, by John Stuart Mill",Protocols of the Elders of Zion,"Looking Backward, by Edward Bellamy",A,ori_mmlu-high_school_european_history,True,0.8666117787361145,0.04869977384805679,0.025360172614455223,0.05932821333408356
"This question refers to the following information.
The text below is the government proclamation.
On the basis of the above-mentioned new arrangements, the serfs will receive in time the full rights of free rural inhabitants.
The nobles, while retaining their property rights to all the lands belonging to them, grant the peasants perpetual use of their household plots in return for a specified obligation[; . . . the nobles] grant them a portion of arable land fixed by the said arrangements as well as other property. . . . While enjoying these land allotments, the peasants are obliged, in return, to fulfill obligations to the noblemen fixed by the same arrangements. In this status, which is temporary, the peasants are temporarily bound. . . .
[T]hey are granted the right to purchase their household plots, and, with the consent of the nobles, they may acquire in full ownership the arable lands and other properties which are allotted them for permanent use. Following such acquisition of full ownership of land, the peasants will be freed from their obligations to the nobles for the land thus purchased and will become free peasant landowners.
WE have deemed it advisable:
3. To organize Peace Offices on the estates of the nobles, leaving the village communes as they are, and to open cantonal offices in the large villages and unite small village communes.
4. To formulate, verify, and confirm in each village commune or estate a charter which will specify, on the basis of local conditions, the amount of land allotted to the peasants for permanent use, and the scope of their obligations to the nobleman for the land.
6. Until that time, peasants and household serfs must be obedient towards their nobles, and scrupulously fulfill their former obligations.
7. The nobles will continue to keep order on their estates, with the right of jurisdiction and of police, until the organization of cantons and of cantonal courts.
—Alexander II, ""The Abolition of Serfdom in Russia,"" Manifesto of February 19, 1861
Which of the following was a major impetus in convincing Tsar Alexander II of the necessity of freeing the serfs?",Recent defeat in the Crimean War convinced the tsar some domestic reforms were necessary.,"Enlightened rulers in Prussia and Austria had recently done the same, which pressured Alexander II to act.",The Decembrist Revolt and its aftermath had convinced the young tsar to make reforms.,A labor force to complete the Trans-Siberian Railroad was needed as well as military recruits.,A,ori_mmlu-high_school_european_history,True,0.6337252259254456,0.24945788085460663,0.058960750699043274,0.05785614624619484
"This question refers to the following information.
We have, by this perpetual and irrevocable edict, established and proclaimed:
""First, that the recollection of everything done be one party or the other … during all the preceding period of troubles, remain obliterated and forgotten, as if no such things had ever happened. …
""We ordain that the Catholic Apostolic and Roman religion shall be restored and reestablished in all places and localities of this our kingdom and countries subject to our sway, where the exercise of the same has been interrupted, in order that it may be peaceably and freely exercised, without any trouble or hindrance. …
""And in order to leave no occasion for troubles or differences between our subjects, we have permitted, and herewith permit, those of the said religion called Reformed to live and abide in all the cities and places of this our kingdom and countries of our sway, and without being annoyed, molested, or compelled to do anything in the matter of religion contrary to their consciences. …""
Henry IV of France, The Edict of Nantes, 1598
From the passage, one may infer that Henry IV",intended for Protestants to be able to live peacefully in his kingdom,was banning Protestants from France,was converting to Catholicism,was converting to Protestantism,A,ori_mmlu-high_school_european_history,True,0.9085202217102051,0.05848115310072899,0.008401027880609035,0.02459760382771492
"This question refers to the following information.
The passage below is written by John Calvin.
If we need to be recalled to the origin of election, to prove that we obtain salvation from no other source than the mere goodness of God, they who desire to extinguish this principle, do all they can to obscure what ought to be magnificently and loudly celebrated, and to pluck up humility by the roots. In ascribing the salvation of the remnant of the people to the election of grace, Paul clearly testifies, that it is then only known that God saves whom upon which there can be no claim. They who shut the gates to prevent anyone from presuming to approach and taste this doctrine, do no less injury to man than to God; for nothing else will be sufficient to produce in us suitable humility, or to impress us with a due sense of our great obligations to God. Nor is there any other basis for solid confidence, even according to the authority of Christ, who, to deliver us from all fear, and render us invincible amidst so many dangers, snares, and deadly conflicts, promises to preserve in safety all whom the Father has committed to His care.
—John Calvin, Institutes of the Christian Religion, 1559
Which of the following beliefs, supported first by Calvin, does this passage seem to best support?",Predestination,Salvation,Divinity of Jesus,Simony,A,ori_mmlu-high_school_european_history,True,0.7420624494552612,0.11542723327875137,0.10769728571176529,0.03481303155422211
"This question refers to the following information.
Read the the following quotation to answer questions.
What is tolerance? … We are full of weakness and errors; let us mutually pardon our follies. This is the last law of nature. … Of all religions, the Christian ought doubtless to inspire the most tolerance, although hitherto the Christians have been the most intolerant of all men.
Voltaire, Letters on the English Nation, 1733
From the passage, one may infer that Voltaire was participating in what cultural movement?",The Enlightenment,The Reformation,The Scientific Revolution,The Romantic Movement,A,ori_mmlu-high_school_european_history,True,0.5587194561958313,0.21276892721652985,0.12971335649490356,0.09879832714796066
"This question refers to the following information.
[T]he the end and measure of this power, when in every man's hands in the state of nature, being the preservation of all of his society, that is, all mankind in general, it can have no other end or measure, when in the hands of the magistrate, but to preserve the members of that society in their lives, liberties, and possessions, and so cannot be an absolute, arbitrary power over their lives and fortunes, which are as much as possible to be preserved, but a power to make law, and annex such penalties to them, as may tend to the preservation of the whole by cutting off those parts, and those only, which are so corrupt that they threaten the sound and healthy, without which no severity is lawful. And this power has its original only from compact, and agreement, and the mutual consent of those who make up the community. …
Whensoever, therefore, the legislative shall transgress this fundamental rule of society; and either by ambition, fear, folly or corruption, endeavor to grasp themselves, or put into the hands of any other, an absolute power over the lives, liberties, and estates of the people; by this breach of trust they forfeit the power the people had put into their hands for quite contrary ends.
John Locke, Second Treatise of Government, 1690
From the passage, one may infer that Locke believed a government loses its legitimacy when",it tries to exercise absolute power,when the people wish to change governors,when it becomes corrupt,it is weak and can be overthrown,A,ori_mmlu-high_school_european_history,True,0.34111225605010986,0.1462211161851883,0.3326173424720764,0.18004930019378662
"This question refers to the following information.
Read the following letter.
It happened . . . that a Spaniard saw an Indian . . . eating a piece of flesh taken from the body of an Indian who had been killed. . . . I had the culprit burned, explaining that the cause was his having killed that Indian and eaten him[,] which was prohibited by Your Majesty, and by me in Your Royal name. I further made the chief understand that all the people . . . must abstain from this custom. . . . I came . . . to protect their lives as well as their property, and to teach them that they were to adore but one God[,] . . . that they must turn from their idols, and the rites they had practiced until then, for these were lies and deceptions which the devil . . . had invented. . . . I, likewise, had come to teach them that Your Majesty, by the will of Divine Providence, rules the universe, and that they also must submit themselves to the imperial yoke, and do all that we who are Your Majesty's ministers here might order them.
—Hernan Cortez, Fifth Letter to Holy Roman Emperor Charles V, 1521
Which of the following was NOT a result of the European conquest of the Americas realized by the end of the seventeenth century?",Europeans established overseas colonies on the coasts of the Americas and throughout the continent of Africa.,"Europe's colonial expansion led to a global exchange of goods, flora, fauna, cultural practices, and diseases.",Europeans created vast global trade networks that allowed them to gain large accumulations of wealth.,Europeans expanded the African slave trade in response to the establishment of a plantation economy in the Americas and to demographic catastrophes among indigenous peoples.,A,ori_mmlu-high_school_european_history,True,0.5772652626037598,0.09331251680850983,0.25141048431396484,0.07801178097724915
"This question refers to the following information.
Albeit the king's Majesty justly and rightfully is and ought to be the supreme head of the Church of England, and so is recognized by the clergy of this realm in their convocations, yet nevertheless, for corroboration and confirmation thereof, and for increase of virtue in Christ's religion within this realm of England, and to repress and extirpate all errors, heresies, and other enormities and abuses heretofore used in the same, be it enacted, by authority of this present Parliament, that the king, our sovereign lord, his heirs and successors, kings of this realm, shall be taken, accepted, and reputed the only supreme head in earth of the Church of England, called Anglicans Ecclesia; and shall have and enjoy, annexed and united to the imperial crown of this realm, as well the title and style thereof, as all honors, dignities, preeminences, jurisdictions, privileges, authorities, immunities, profits, and commodities to the said dignity of the supreme head of the same Church belonging and appertaining; and that our said sovereign lord, his heirs and successors, kings of this realm, shall have full power and authority from time to time to visit, repress, redress, record, order, correct, restrain, and amend all such errors, heresies, abuses, offenses, contempts, and enormities, whatsoever they be, which by any manner of spiritual authority or jurisdiction ought or may lawfully be reformed, repressed, ordered, redressed, corrected, restrained, or amended, most to the pleasure of Almighty God, the increase of virtue in Christ's religion, and for the conservation of the peace, unity, and tranquility of this realm; any usage, foreign land, foreign authority, prescription, or any other thing or things to the contrary hereof notwithstanding.
English Parliament, Act of Supremacy, 1534
From the passage and its historical context, one may infer that the Act was, in part,",a solution to Henry VIII's financial difficulties,an attempt to prevent the spread of Protestantism in England,an attempt to legitimize Henry VIII's only heir,an attempt to ally England with the Holy Roman Emperor,A,ori_mmlu-high_school_european_history,True,0.47399938106536865,0.4516218602657318,0.03044796548783779,0.043930746614933014
"This question refers to the following information.
The following excerpt is from a pamphlet.
You will do me the justice to remember, that I have always strenuously supported the Right of every man to his own opinion, however different that opinion might be to mine. He who denies to another this right, makes a slave of himself to his present opinion, because he precludes himself the right of changing it.
The most formidable weapon against errors of every kind is Reason. I have never used any other, and I trust I never shall.
The circumstance that has now taken place in France of the total abolition of the whole national order of priesthood, and of everything appertaining to compulsive systems of religion, and compulsive articles of faith, has not only precipitated my intention, but rendered a work of this kind exceedingly necessary, lest in the general wreck of superstition, of false systems of government, and false theology, we lose sight of morality, of humanity, and of the theology that is true.
I believe in one God, and no more; and I hope for happiness beyond this life.
I believe in the equality of man; and I believe that religious duties consist in doing justice, loving mercy, and endeavoring to make our fellow-creatures happy.
I do not believe in the creed professed by the Jewish church, by the Roman church, by the Greek church, by the Turkish church, by the Protestant church, nor by any church that I know of. My own mind is my own church.
All national institutions of churches, whether Jewish, Christian or Turkish, appear to me no other than human inventions, set up to terrify and enslave mankind, and monopolize power and profit.
I do not mean by this declaration to condemn those who believe otherwise; they have the same right to their belief as I have to mine.
—Thomas Paine, The Age of Reason, 1794–1795
The ideas expressed by Paine above best illustrate which of the following characteristics of Enlightenment intellectuals?","They utilized new methods of communicating their ideas, such as salons and inexpensive printed pamphlets.",Many were accomplished scientists who added important pieces to the human understanding of the universe.,Most rejected religion altogether and adopted atheism as the only credo of a rational person.,Many believed that the new scientific discoveries would allow humans to solve all problems.,A,ori_mmlu-high_school_european_history,False,0.15571948885917664,0.2625753581523895,0.4123537838459015,0.16935138404369354
"This question refers to the following information.
""The substitution of Plato for the scholastic Aristotle was hastened by contact with Byzantine scholarship. Already at the Council of Ferrera (1438), which nominally reunited the Eastern and Western churches, there was a debate in which the Byzantines maintained the superiority of Plato to Aristotle. Cosimo and Lorenzo de Medici were both addicted to Plato; Cosimo founded and Lorenzo continued the Florentine Academy, which was largely devoted to the study of Plato&…The humanists of the time, however, were too busy acquiring knowledge of antiquity to be able to produce anything of value.""
Bertrand Russell, British philosopher, History of Western Philosophy, 1946
According to the information in the text, the schools founded by the Medici family most favored a philosophy known as",Neoplatonism,Scholasticism,Renaissance humanism,Neoclassicism,A,ori_mmlu-high_school_european_history,True,0.7871752381324768,0.07473668456077576,0.09014879167079926,0.04793920740485191
"This question refers to the following information.
""But you, my dear Pangloss,"" said Candide, ""how can it be that I behold you again?""
""It is true,"" said Pangloss, ""that you saw me hanged&….A surgeon purchased my body, carried home, and dissected me. He began with making a crucial incision on me from the navel to the clavicula. One could not have been worse hanged than I was. The executioner of the Holy Inquisition was a sub-deacon, and knew how to burn people marvellously well, but he was not accustomed to hanging. The cord was wet and did not slip properly, and besides it was badly tied; in short, I still drew my breath, when the crucial incision made me give such a frightful scream that my surgeon fell flat upon his back&…[At length he] sewed up my wounds; his wife even nursed me. I was upon my legs at the end of fifteen days&….
One day I took it into my head to step into a mosque, where I saw an old Iman and a very pretty young devotee who was saying her paternosters&….She dropped her bouquet; I picked it up, and presented it to her with a profound reverence. I was so long in delivering it that the Iman began to get angry, and seeing that I was a Christian he called out for help. They carried me before the cadi, who ordered me a hundred lashes on the soles of the feet and sent me to the galleys. I was chained to the very same galley and the same bench as the young Baron. On board this galley there were four young men from Marseilles, five Neapolitan priests, and two monks from Corfu, who told us similar adventures happened daily. The Baron maintained that he had suffered greater injustice than I&….We were continually disputing, and received twenty lashes with a bull's pizzle when the concatenation of universal events brought you to our galley, and you were good enough to ransom us.""
""Well, my dear Pangloss,"" said Candide to him, ""when you had been hanged, dissected, whipped, and were tugging at the oar, did you always think that everything happens for the best?""
""I am still of my first opinion,"" answered Pangloss, ""for I am a philosopher and I cannot retract, especially as Leibnitz could never be wrong; and besides, the pre-established harmony is the finest thing in the world, and so is his plenum and materia subtilis.""
Voltaire, French Enlightenment writer, Candide, 1759
The ""concatenation of universal events"" that brought the men together on the ship illustrates the eighteenth-century fondness of",using cause-and-effect to systematize the understanding of human behavior,exploiting naval power to European nation-states,drawing universal conclusions from a wide range of concrete data,demonstrating high social status through large vocabulary,A,ori_mmlu-high_school_european_history,True,0.8316907286643982,0.09210837632417679,0.06468605250120163,0.011514957994222641
